signal_1,signal_2
0.4692908107957641-0.17252862751009845i,0.4221920340451635-0.15504303322708374i
-0.09514986355044508+0.49086246027677305i,-0.08569449214707063+0.4412389056255936i
-0.3708369169897549-0.33538013834798736i,-0.3330570394166345-0.3014294037813292i
0.47886433200451595-0.1438364892945838i,0.42999819220021784-0.12899046502156844i
-0.12465662793008098+0.4842109067716742i,-0.11201122294687028+0.4344423221306398i
-0.34987902057140774-0.35718974090759925i,-0.3136356916854671-0.3204205749325544i
0.4866854150976045-0.11461797197531254i,0.4361960693382025-0.10256082519971729i
-0.15370720273020713+0.47578734844513476i,-0.1378186037726436+0.4260754007111838i
-0.32764071727708-0.37769218302916757i,-0.2931349093599818-0.3381640030365536i
0.4927254382675491-0.08498000278571541i,0.44076866357315864-0.07585344140735409i
-0.18219527531493535+0.46562261190541987i,-0.16302290440207443+0.41617498261868197i
-0.3042033897526283-0.39681243457373383i,-0.2716346797913786-0.35459859617409945i
